timestamp,occupation,location,session_id
2025-11-25T14:40:05,Postdoc,Aalborg,20251125-143933
2025-11-25T14:41:07,PhD student,Aalborg,20251125-144101
2025-11-26T09:59:22,Postdoc,Aalborg,20251126-095858
2025-11-26T14:15:45,Postdoc,Aalborg,20251126-141535
2025-11-26T15:46:02,PhD student,Aalborg,20251126-154103
2025-11-27T10:13:55,Research assistant,Aalborg,20251127-100758
2025-11-27T11:07:28,PhD student,Aalborg,20251127-110722
2025-12-01T15:08:26,Research assistant,Aalborg,20251201-150818
2025-12-03T09:57:38,PhD student,Aalborg,20251203-095709
2025-12-03T10:40:26,Postdoc,Aalborg,20251203-104020
2025-12-04T10:07:00,Postdoc,Aalborg,20251204-100651
2025-12-09T10:49:30,Postdoc,Aalborg,20251209-104816
2025-12-09T11:18:43,Research assistant,Aalborg,20251209-111836
2025-12-11T09:42:22,Postdoc,Aalborg,20251211-093455
2025-12-11T17:26:05,Research assistant,Aalborg,20251211-172558
2025-12-11T17:38:43,Research assistant,Aalborg,20251211-173807
2025-12-11T19:20:36,Research assistant,Aalborg,20251211-191846
2025-12-11T19:37:03,Master student,Aalborg,20251211-193657
2025-12-11T20:50:02,Research assistant,Aalborg,20251211-204952
2025-12-11T21:20:16,PhD student,Aalborg,20251211-212006
2025-12-11T21:40:14,Postdoc,Aalborg,20251211-214007
2025-12-11T22:24:12,Research assistant,Aalborg,20251211-222408
2025-12-11T23:08:03,Research assistant,Aalborg,20251211-230758
2025-12-11T23:10:33,Research assistant,Aalborg,20251211-231021
2025-12-12T08:25:52,Postdoc,Aalborg,20251212-075308
2025-12-12T08:30:01,Others,Aalborg,20251212-082951
2025-12-12T08:35:22,Associate Professor,aalborg,20251212-083458
